question	extracted_review	Image	score	category
Does this case fold so that you can watch movies horizontally ?	Only downside is it doesn't fold bck into a stand, and it kinda covers my front led light.	http://ecx.images-amazon.com/images/I/51kyj90pB2L._SY300_.jpg	2.4285714285714284	Cell_Phones_and_Accessories
Does this fit the blu studio 5 . 3ii d550a phone?	This case came recommended with the Blu Studio 5.3 S but the case nor the battery fit the phone.	http://ecx.images-amazon.com/images/I/51T5TWPg8iL._SY300_.jpg	2.4285714285714284	Cell_Phones_and_Accessories
Does this go in to dock mode when placed in this dock ?	I set this up on my computer desk.	http://ecx.images-amazon.com/images/I/51iudIzDwiL._SX300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
Does this only come in black . if what other colors . thankyou ?	The black is a true black and blends in with the phone back.	http://ecx.images-amazon.com/images/I/41cH4h2B-wL._SY300_.jpg	1.5714285714285714	Cell_Phones_and_Accessories
Does this phone come with a charger cord ?	I wanted to return this phone but can't since I'm unable to find the charger that came with it - probably left in a hotel room while I was still trying to get the thing to work.	http://ecx.images-amazon.com/images/I/51X2eK4y6SL._SY300_.jpg	1.4285714285714286	Cell_Phones_and_Accessories
Does this phone have amazon apps ?	Now need to go through the pain of returning the phone and ordering a new one - this time, directly from Blackberry, which I probably should have done in the first place.	http://ecx.images-amazon.com/images/I/41wBdUfbbvL._SX300_.jpg	0.42857142857142855	Cell_Phones_and_Accessories
Does this phone have gpsmaps feature ?	Like many other Samsung phones this one also has high rates from their users.	http://ecx.images-amazon.com/images/I/41BcI%2B8wKIL._SY300_.jpg	0.2857142857142857	Cell_Phones_and_Accessories
Hello . what are the accesories that com with the cellphone?	I can get 9 Mbps on the downlink, and 1.6 Mbps.	http://ecx.images-amazon.com/images/I/41B0v7KYXsL._SX300_.jpg	0.2857142857142857	Cell_Phones_and_Accessories
Hello is this phone factory unlocked ?	Phone arrived promptly and as described.	http://ecx.images-amazon.com/images/I/41C683oQIoL._SX300_.jpg	1.1428571428571428	Cell_Phones_and_Accessories
I see it has a battery but what about a wall chrger ?	When i bought this cell phone from this company the battery had a full charge.	http://ecx.images-amazon.com/images/I/41OYgiYwBeL._SY300_.jpg	1.0	Cell_Phones_and_Accessories
If i want to use this for taking a video underwater would that work ?	My two children used them while in the pool recording while in the water.	http://ecx.images-amazon.com/images/I/51FAK2xcd2L._SY300_.jpg	2.7142857142857144	Cell_Phones_and_Accessories
Is the shipping true to what it says . or will it arrive sooner?	I have tried to ask for a replacement, but I have to send this item in first to CHINA.	http://ecx.images-amazon.com/images/I/41sl5Z%2Bw-tL._SX300_.jpg	0.5714285714285714	Cell_Phones_and_Accessories
Is there a hole for the camera ?	There is no hole for the camera, headphone jack or the charging port.	http://ecx.images-amazon.com/images/I/51i8XbyOl-L._SX300_.jpg	2.8571428571428568	Cell_Phones_and_Accessories
Is this available for a samsung note 3 or larger ?	This bag is perfect for my wife's Samsung Galaxy S4 i9505.	http://ecx.images-amazon.com/images/I/31D4pxuhM-L._SY300_.jpg	1.5714285714285714	Cell_Phones_and_Accessories
Is this phone unlocked and can use with t mobile simcar?	Phone came as described and works great.	http://ecx.images-amazon.com/images/I/41sdsIDnJYL._SX300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
Is this phone unlocked so it can work with any gsm network in the world ?	It is the cell phone on the market.	http://ecx.images-amazon.com/images/I/41VCk9NATsL._SY300_.jpg	0.5714285714285714	Cell_Phones_and_Accessories
The menu is in spanish option ?	The apps for the cell phone are in chinese and you can't understand most of it.	http://ecx.images-amazon.com/images/I/51i4IpJciRL._SY300_.jpg	1.1428571428571428	Cell_Phones_and_Accessories
This phone have box and all accesories ?	So... the phone may come with a 4 gb sd card, but you can't do ANYTHING.	http://ecx.images-amazon.com/images/I/4161W77Q5SL._SY300_.jpg	1.2857142857142858	Cell_Phones_and_Accessories
Wanna know if this has the apple garantee and also if its new and unlocke?	The new iphone is faster than ever and these new colors are awesome.	http://ecx.images-amazon.com/images/I/51cXLlUoPGL._SY300_.jpg	0.42857142857142855	Cell_Phones_and_Accessories
Want to know if this phone is unlocked for venezuela if you lift 3g with movista?	its what i hope Very good but is not unlocked It is an Australian phone and seller does not say it on the website.	http://ecx.images-amazon.com/images/I/41BZicVirCL._SY300_.jpg	1.8571428571428568	Cell_Phones_and_Accessories
What cables isare included usb ac adaptor . w?	Pros- Uses a standard Micro-USB cable (but you'll need a hefty power supply).	http://ecx.images-amazon.com/images/I/41cTnlGBwCL._SY300_.jpg	2.571428571428572	Cell_Phones_and_Accessories
What diameter and depth is the smallest diameter cupholder this will fit ?	The first noticeable part of the base is how narrow it is, and will not be able to fit any cup holder.	http://ecx.images-amazon.com/images/I/31yqrNTbsRL._SX300_.jpg	1.8571428571428568	Cell_Phones_and_Accessories
What type of sim card does this phone use . micro or regular sim card?	This is our first smart phone and was chosen for the long battery life. (	http://ecx.images-amazon.com/images/I/41gi6juwUqL._SX300_.jpg	0.2857142857142857	Cell_Phones_and_Accessories
What39s the id number of this phone . it should start with an a . ?	This is a great replacement phone for our daughter who is in between contract dates.	http://ecx.images-amazon.com/images/I/51cOeeYHVJL._SX300_.jpg	0.5714285714285714	Cell_Phones_and_Accessories
Will it fit any smart phone ?	It works for my phone and Kindle but not my tablet.	http://ecx.images-amazon.com/images/I/31oW7q5TP7L._SX300_.jpg	1.7142857142857142	Cell_Phones_and_Accessories
Will there be one made for the htc one m8 ?	This bag is perfect for my wife's Samsung Galaxy S4 i9505.	http://ecx.images-amazon.com/images/I/31D4pxuhM-L._SY300_.jpg	0.5714285714285714	Cell_Phones_and_Accessories
Will this fit on my hd fire d025 model ?	Be sure to look closely at your Fire HD to ensure you can separate the glass from its case.	http://ecx.images-amazon.com/images/I/41dBYU-LhaL._SY300_.jpg	0.8571428571428571	Cell_Phones_and_Accessories
Will this phone work in jamaica w?	I bought it for a six month stay in Europe.	http://ecx.images-amazon.com/images/I/51-2E1LaJlL._SY300_.jpg	0.5714285714285714	Cell_Phones_and_Accessories
Will this product fit galaxy sii from virgin mobile .?	I replaced my broken LCD with this one.	http://ecx.images-amazon.com/images/I/41dfcFnhLmL._SY300_.jpg	0.42857142857142855	Cell_Phones_and_Accessories
Will this work with iphone 6 ?	Thanks for wonderful products NEED AN UNLOCK PHONE TO GET IT WORK?DID NOT WORK WITH ALL DEVICES?MAY BE IT CAN PAIR UP WITH SIMPLE CELL PHONES?	http://ecx.images-amazon.com/images/I/419Mpcy2tjL._SX300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
Will this work with my atampt note 2 .?	 It's a great product, and i would recommend it for your Note 2.	http://ecx.images-amazon.com/images/I/31yeN-rkIbL._SY300_.jpg	2.7142857142857144	Cell_Phones_and_Accessories
3g issue does this phone work with atampt 3g network .?	el celular que me llego no es de banda 850 y 2.es de logo t-mobile, 3.	http://ecx.images-amazon.com/images/I/519BAjbHIzL._SY300_.jpg	0.42857142857142855	Cell_Phones_and_Accessories
Anyone used these ear buds with windows phone nokia icon . did the mic button work ?	The button mutes my music.	http://ecx.images-amazon.com/images/I/41UpX0Y4%2BSL._SX300_.jpg	2.0	Cell_Phones_and_Accessories
Can i use this for a power told from germany or ireland in the us?	I actually found that I only needed the top USB plug plus a country adapter.	http://ecx.images-amazon.com/images/I/41c5bya%2BS7L._SY300_.jpg	1.7142857142857142	Cell_Phones_and_Accessories
Can this phone be upgraded to android 4 . 4 kitkat?	Great cell phone, really fast and almost as big as a tablet.	http://ecx.images-amazon.com/images/I/410M93Xkg0L._SY300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
Can this phone be used with a no contract service such as straight talk ?	This phone has helped me have what I want without spending so much!	http://ecx.images-amazon.com/images/I/413vStnKCWL._SY300_.jpg	0.8571428571428571	Cell_Phones_and_Accessories
Can you charge it without taking the case off ?	This comes into play in these heavy duty styled cases in that your device may not be able to cool down causing it to lag at times and potentially shut down as a form of thermal protection.	http://ecx.images-amazon.com/images/I/41m4sMmYa-L._SY300_.jpg	1.1428571428571428	Cell_Phones_and_Accessories
Can you insert ipad with cover or we have to remove cover each time to insert ipad ?	Unlike other headrest mounts, this mount can grab all kinds of tablets such as ipad or galaxy tab.	http://ecx.images-amazon.com/images/I/515J3NQ645L._SY300_.jpg	1.4285714285714286	Cell_Phones_and_Accessories
Do you have a replacement holster for a samsung galaxy s4 mini in a defender cas?	I have been searching for a Holster with Belt Clip That also Holds Phone with Otterbox Case.	http://ecx.images-amazon.com/images/I/41DHGtqgdML._SY300_.jpg	1.0	Cell_Phones_and_Accessories
Do you have in stock a d821 ?	I recommended your product to everyone.i compare with samsung galaxy 5 This phone was for a friend actually, but I already had in mind get mine later.	http://ecx.images-amazon.com/images/I/51htB5dGMNL._SY300_.jpg	1.0	Cell_Phones_and_Accessories
Does it come with a charger for its self ?	It comes with a micro USB cable and an adapter for a 30pin connector for iPhone's.	http://ecx.images-amazon.com/images/I/41OLCwoaiVL._SY300_.jpg	2.142857142857143	Cell_Phones_and_Accessories
Does it have an ascending ring tone option ?	My only surprise was that it has an orange back.	http://ecx.images-amazon.com/images/I/41ZHi%2BKeAYL._SY300_.jpg	0.42857142857142855	Cell_Phones_and_Accessories
Does it have android system ?	"And of course, it's a feature phone, not a ""smart"" phone; though it seems to have a fairly useful suite of built-in apps."	http://ecx.images-amazon.com/images/I/411d7unwZJL._SY300_.jpg	1.5714285714285714	Cell_Phones_and_Accessories
Does it work with a 2012 jetta sport wagen or a 2013 passat ?	this cable did not work in my Audi a3, LEAVING THIS EXERCISE AS A SERIOUS ATTEMPT TO ENHANCE FUTILITY ITSELF!!	http://ecx.images-amazon.com/images/I/41NNNf6LxcL._SY300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
Does the case discolor after a whil?	If you're questioning this, make sure you but it!	http://ecx.images-amazon.com/images/I/41Q0nivNmML._SY300_.jpg	1.0	Cell_Phones_and_Accessories
Does the floral pattern wrap around the sides of the phone or are the sides white ?	I love the art and the look of the case, however, the case is very difficult to get back off the phone.	http://ecx.images-amazon.com/images/I/51PhDU-6RHL._SY300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
Does this also allow you to use bluetooth to wirelessly listen to music ?	 He seems to enjoy using the bluetooth device rather than plugging it in, but it has great sound.	http://ecx.images-amazon.com/images/I/41A6Nva9ntL._SY300_.jpg	2.0	Cell_Phones_and_Accessories
Does this case attach by removing the back cover of the s4 mini ?	The cover does not close and the window for the S-view is misshapen.	http://ecx.images-amazon.com/images/I/51JSQ0zLSiL._SX300_.jpg	1.5714285714285714	Cell_Phones_and_Accessories
Does this phone have a wall charger with it ?	And speaking of features, this phone does have a decent camera, which is why I'm giving it 3 stars.	http://ecx.images-amazon.com/images/I/41SIqiUwLxL._SY300_.jpg	0.2857142857142857	Cell_Phones_and_Accessories
Does this work on pantech 2 cell phone ?	the portable charger is easy to use for most cell phones even the older ones that manufacturer does not want to support Quickly charged my cell phone.	http://ecx.images-amazon.com/images/I/51SkhLRHIdL._SY300_.jpg	2.0	Cell_Phones_and_Accessories
Good night the phone comes unlocked for gsm in venezuel?	Cuidado, les puede pasar lo mismo y pueden desperdiciar su dinero.	http://ecx.images-amazon.com/images/I/41mJ5ktbffL._SY300_.jpg	0.2857142857142857	Cell_Phones_and_Accessories
How far away from the actual phone can you use this device ?	This mini works as your phone and TV remote when ypou have to charge your phone or have it in another room.	http://ecx.images-amazon.com/images/I/31JoWcD89fL.jpg	2.0	Cell_Phones_and_Accessories
How good is the screen is it as good as my iphone4?	The Infuse is a very good phone with most of the bells and whistles for which one would hope.	http://ecx.images-amazon.com/images/I/51WiA6NeaFL._SX300_.jpg	1.2857142857142858	Cell_Phones_and_Accessories
I have a verizon contract but no data plan . will this phone work ?	It was easy to activate the phone on my plan at the Verizon store.	http://ecx.images-amazon.com/images/I/41wmi-TJOML._SX300_.jpg	2.142857142857143	Cell_Phones_and_Accessories
If i buy a white one i get a white phone . comes in sealed bo?	i bought a white phone like this picture, and i received a black phone with a white charger, and white phones, Great plus so lovely, Thanks Thanks.. i love it	http://ecx.images-amazon.com/images/I/51S0AcNnvRL._SX300_.jpg	2.2857142857142856	Cell_Phones_and_Accessories
Is charger compatible with samsung galaxy mini 4 ?	This car charger is exactly what I wanted.	http://ecx.images-amazon.com/images/I/31gkRib077L._SY300_.jpg	1.0	Cell_Phones_and_Accessories
Is the case battery back cover door with water resistant seal ?	The case is amazingly rugged and secured the phone very nicely.	http://ecx.images-amazon.com/images/I/41Ce3B0qyjL._SY300_.jpg	2.0	Cell_Phones_and_Accessories
Is this a 64bit processor capable of running android l .?	It run on android JB 4.2 and I find it run really smooth on daily basis.#gaming- this phone run pretty much all games on the PlayStore with ease.	http://ecx.images-amazon.com/images/I/41j8wCLSQ6L._SY300_.jpg	2.0	Cell_Phones_and_Accessories
Is this a gsm or cdma phone ?	The smartphone I received is a GSIII S960L, and the Android version is 4.1.2.	http://ecx.images-amazon.com/images/I/41E9M%2BwhCUL._SY300_.jpg	1.7142857142857142	Cell_Phones_and_Accessories
Is this adapter compatible with zte atampt phones . ?	This adapter worked great for my Pantech Ease.	http://ecx.images-amazon.com/images/I/31c761whKhL._SX300_.jpg	1.1428571428571428	Cell_Phones_and_Accessories
Is this compatible with usb 2 . 0 . than?	Since my tablet is a new Samsung Galaxy Tab 12.2, the connection is usb3.	http://ecx.images-amazon.com/images/I/41KRn%2Bnf3PL._SY300_.jpg	1.4285714285714286	Cell_Phones_and_Accessories
Is this phone worth the purchase ?	my item is not new but i paid for a new Defective phone delivered , it goes to sleep even when user in typing some text or navigating some application.	http://ecx.images-amazon.com/images/I/41yZeCExS3L._SX300_.jpg	1.5714285714285714	Cell_Phones_and_Accessories
Is this still a counterfeit lifeproof case or has that issue been resolved ?	A few days after I got received my first case I dropped my phone into the washing machine on the rinse.	http://ecx.images-amazon.com/images/I/410N2eAplTL._SY300_.jpg	1.0	Cell_Phones_and_Accessories
Just what is quotquad bandquot . ?	Very disappointed in this phone.	http://ecx.images-amazon.com/images/I/41xmOxRyjbL._SY300_.jpg	0.14285714285714285	Cell_Phones_and_Accessories
This cell phone is unlocked . can use in my country venezuela?	I purchased this phone to use in Trinidad because it is dual sim and rugged.	http://ecx.images-amazon.com/images/I/51ItRwy99aL._SY300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
This cell works in venezuela ?	Yes, it will work with your Verizon service BUT only outside of the US, not in the US.	http://ecx.images-amazon.com/images/I/51hKpm-PUTL._SY300_.jpg	2.7142857142857144	Cell_Phones_and_Accessories
Want to know if this phone is unlocked for venezuela if you lift 3g with movista?	its what i hope Very good but is not unlocked It is an Australian phone and seller does not say it on the website.	http://ecx.images-amazon.com/images/I/41BZicVirCL._SY300_.jpg	2.4285714285714284	Cell_Phones_and_Accessories
What are the differences between the fob and the tag devices .?	I'm returning my key fob.	http://ecx.images-amazon.com/images/I/41MkIIDqYyL._SY300_.jpg	0.7142857142857143	Cell_Phones_and_Accessories
What comes inside the box ?	And its worth every penny.	http://ecx.images-amazon.com/images/I/41PmjjpuPpL._SX300_.jpg	0.5714285714285714	Cell_Phones_and_Accessories
What is the weight of the case exactly ?	Great case... Great feel and doesn't make the phone bulky or heavy.	http://ecx.images-amazon.com/images/I/31bbKUXBreL._SY300_.jpg	1.4285714285714286	Cell_Phones_and_Accessories
Which outter box case will fit the samsung s4 mini ?	Made the install a breeze and the fit near perfect.	http://ecx.images-amazon.com/images/I/41riRU5B3RL._SY300_.jpg	0.8571428571428571	Cell_Phones_and_Accessories
Why are there 5 colors in the description but 6 actual cases . the light pink isn39t mentioned .?	Also, the &#34;red&#34; one is hot pink, not red.	http://ecx.images-amazon.com/images/I/51F4UjNVrSL._SY300_.jpg	1.2857142857142858	Cell_Phones_and_Accessories
Will it work wireless with a samsung galaxy ?	Doesnt work anymore and didnt connect to the bluetooth past 5 ft.	http://ecx.images-amazon.com/images/I/5158gYLVI2L._SY300_.jpg	2.0	Cell_Phones_and_Accessories
Will it work with mtn nigeria ?	This phone is a unlocked Verizon version,  works with 850 mhz (2G) Edge, if you need 3g or LTE only works with 900 mhz band.	http://ecx.images-amazon.com/images/I/41Ot5HyVOHL._SX300_.jpg	1.0	Cell_Phones_and_Accessories
Will this fit a samsung galaxy s4 phon?	I have a Samsung Galaxy 3 it did not fit my phone.	http://ecx.images-amazon.com/images/I/414SJ1fYLWL._SY300_.jpg	1.4285714285714286	Cell_Phones_and_Accessories
Will this fit the iphone 5c ?	Can fit 3 cards but not much more without force.	http://ecx.images-amazon.com/images/I/31JGgbaDpNL._SY300_.jpg	1.2857142857142858	Cell_Phones_and_Accessories
Will this mobile phone also receive text messages ?	 Now that they have a baby, it makes me feel more comfortable knowing she has a back up phone in case of an emergency.	http://ecx.images-amazon.com/images/I/41%2B-E1G%2BcXL._SY300_.jpg	0.2857142857142857	Cell_Phones_and_Accessories
Will this phone work with straight talk ?	I use it with a Straight talk sim card.	http://ecx.images-amazon.com/images/I/41W9L2AgWvL._SY300_.jpg	2.7142857142857144	Cell_Phones_and_Accessories
Will this work with a 46quot samsunghd tv . do i need an optical cable ?	 They sounded a bit better than my LG TV built-in speakers, but wasn't blown away by it.-The &#34;surround&#34; feature (which can be turned on/off) is so-so... doesn't replicate surround sound too well.	http://ecx.images-amazon.com/images/I/31g%2BJbLLW3L._SX300_.jpg	1.0	Cell_Phones_and_Accessories
Will this work with an hw261 headset plugged directly into the phone without the amplifier .?	This work with the H141N headset with Cisco 79XX model phones well.	http://ecx.images-amazon.com/images/I/41sSDidoxTL._SY300_.jpg	1.2857142857142858	Cell_Phones_and_Accessories
Will this work with my atampt sim i have a data contract?	But it didn't work with Net 10 service.	http://ecx.images-amazon.com/images/I/51W1JN3EbmL._SX300_.jpg	0.42857142857142855	Cell_Phones_and_Accessories
Are there any 6 oz cannon ball molds with multible cavities ?	These molds are the best.	http://ecx.images-amazon.com/images/I/31LjKVYGk0L._SY300_.jpg	1.0	Sports_and_Outdoors
Can i use this guage alone to measure the pressure without the lezyne pump ?	I have used the regular hoses on my Lezyne Alloy Drive and Pressure Drive pumps extensively with no issues.	http://ecx.images-amazon.com/images/I/31b24fcA-vL._SY300_.jpg	2.2857142857142856	Sports_and_Outdoors
Can one wear the watch in the shower ?	Fun watch that you can wear with most casual spring/summer clothes.	http://ecx.images-amazon.com/images/I/51cPY-Elz8L._SY300_.jpg	1.0	Sports_and_Outdoors
Can the wireless wheel sensor be mounted on the real wheel so it works with a trainer ?	 So if you push firmly without holding on to the bracket the computer is on, it will go flying off the front.	http://ecx.images-amazon.com/images/I/411i4iyiOOL._SY300_.jpg	1.5714285714285714	Sports_and_Outdoors
Can this be used on a schwinn 120 upright exercise bike ?	Charger works perfect for my Schwinn!	http://ecx.images-amazon.com/images/I/417xGh8ya4L._SY300_.jpg	1.8571428571428568	Sports_and_Outdoors
Can you jump up and down with out anything falling out ?	Works best with smaller gun, great product.	http://ecx.images-amazon.com/images/I/51WsIZ6wQCL._SY300_.jpg	0.8571428571428571	Sports_and_Outdoors
Can you use it with a box spring and frame ?	I absolutely recommend this mattress!	http://ecx.images-amazon.com/images/I/41Q9nHIuZIL._SY300_.jpg	0.7142857142857143	Sports_and_Outdoors
Could this kickstand be mounted to the back of a large stuffed sea bass ?	Nice kick stand Worked great and easy adjust!	http://ecx.images-amazon.com/images/I/31BZhcZ3i6L._SY300_.jpg	1.7142857142857142	Sports_and_Outdoors
Do these come with a pitching wedge or sand wedge ?	These are great beginner golf clubs.	http://ecx.images-amazon.com/images/I/510pB%2BWrBCL._SX300_.jpg	0.8571428571428571	Sports_and_Outdoors
Do they fit heavy ankle ?	They are just what I was looking for, easy to use, and durable material.	http://ecx.images-amazon.com/images/I/41V6uw7%2BuCL._SX300_.jpg	1.4285714285714286	Sports_and_Outdoors
Do you sell in quantities less than 1000 ft . i only need about 100 f?	 It's not like I needed one continuous piece but if you say it's a 100', and you sell it on one roll, it should be one piece.	http://ecx.images-amazon.com/images/I/411%2BLZc5XaL._SY300_.jpg	1.8571428571428568	Sports_and_Outdoors
Does it come with string for knif?	it is good it looks cool it is handy but the blade slips out and when you run it comes out and its hard to find This shipped out very Fast!	http://ecx.images-amazon.com/images/I/41MpT98vKdL._SX300_.jpg	0.8571428571428571	Sports_and_Outdoors
Does it do much for the abs biceps triceps deltoids and rotator cuff ?	I love this machine I find it very effective yet easy on your joints.	http://ecx.images-amazon.com/images/I/41-bF04alxL._SX300_.jpg	1.0	Sports_and_Outdoors
Does this bore sighter use a cr2 battery or a cr123 battery or a cr123a battery ?	When I put the battery in the unit it caused the laser mechanism to move to the side.	http://ecx.images-amazon.com/images/I/41ks6hc3O5L._SY300_.jpg	1.2857142857142858	Sports_and_Outdoors
Does this easily set up a compund bow . does it simply attach to the stabilizer threaded hole?	i really like their rest it holds the arrow in place unlike the older one it comes off the rest.	http://ecx.images-amazon.com/images/I/51AET87LJpL._SY300_.jpg	1.1428571428571428	Sports_and_Outdoors
Does this need to be registered or require any type of license in california ?	The paperwork also came in a timely fashion so we could go get the license plates without incident.	http://ecx.images-amazon.com/images/I/51W4gSaX-FL._SX300_.jpg	2.142857142857143	Sports_and_Outdoors
Hi . is this scope 1st focal plane or 2nd focal plane . thanks?	1st off haven't shot it yet these are first out or the box impressions.	http://ecx.images-amazon.com/images/I/41tXiMDUpqL._SX300_.jpg	1.4285714285714286	Sports_and_Outdoors
How do you retain the air in the ball ?	I just could use it immediately instead of letting it air out on the porch!	http://ecx.images-amazon.com/images/I/41adB842UsL._SY300_.jpg	2.2857142857142856	Sports_and_Outdoors
How does this system work with a standard front site base ?	Mounted as easily as it was to sight in and co-witness with a red dot and fixed front sight - and for a fraction of the price.	http://ecx.images-amazon.com/images/I/51GpxJf0z7L._SY300_.jpg	1.5714285714285714	Sports_and_Outdoors
How long is the extraction tube ?	The pump is noisier than I expected but not uncomfortably so.	http://ecx.images-amazon.com/images/I/41tgum-qu-L._SY300_.jpg	0.5714285714285714	Sports_and_Outdoors
How many watts does this unit carry . most of the larger units are 50 watts are higher?	I had to return the unit since it wouldn't hold more than a 25 minute charge.	http://ecx.images-amazon.com/images/I/41BzZvi16yL._SY300_.jpg	1.1428571428571428	Sports_and_Outdoors
I have a 2004 yahama golf cart and would like to know what g number it i?	Replaced seat on the golf cart.	http://ecx.images-amazon.com/images/I/413pqKFFqxL._SX300_.jpg	0.5714285714285714	Sports_and_Outdoors
I have the sportline walking sticks . . . will these fit if walking sticks are pretty standard?	They fit perfect on my Trekker poles and unbranded eBay poles I bought out of China a few years back.	http://ecx.images-amazon.com/images/I/41gUrtTP1AL._SY300_.jpg	1.2857142857142858	Sports_and_Outdoors
Is it quiet enough to watch tv at same time or is it lou?	It's also fairly quiet (my dog isn't even afraid of it, if that tells you anything).	http://ecx.images-amazon.com/images/I/41M9zcaLaJL._SY300_.jpg	2.4285714285714284	Sports_and_Outdoors
Is there foam under the felt to keep objects secure ?	 The foam is very stiff and makes it pretty hard to close the lid over the knives, but over time it compresses just enough, and holds the knives in place very securely.	http://ecx.images-amazon.com/images/I/41FO%2BUCG6JL._SX300_.jpg	2.571428571428572	Sports_and_Outdoors
Is this a full size skate board . why does it say 7 . 5quot?	I got this for my 8 year old and it's a large skateboard for him which has helped him feel safer while practicing.	http://ecx.images-amazon.com/images/I/41F35ZSV5oL._SX300_.jpg	1.4285714285714286	Sports_and_Outdoors
Is this motor a bow mount or transom mount ?	the trolling motor works great so far.	http://ecx.images-amazon.com/images/I/310D38mvt%2BL._SY300_.jpg	0.8571428571428571	Sports_and_Outdoors
Is this scooter appropriate for a 5 year old ?	My son 16 year old is quite big 6 foot tall 195 LB and he depends very much on his scooter.	http://ecx.images-amazon.com/images/I/41ADtHdaUNL._SY300_.jpg	1.4285714285714286	Sports_and_Outdoors
